0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
05,10,03,13,6341,404,634,212,610,1538,694,676,1573,3332,1976,2022,2,05100313,05100313-2022-2
05,10,03,14,7450,512,761,239,949,2316,902,899,872,3475,3475,2022,2,05100314,05100314-2022-2
05,10,03,15,6942,451,596,167,849,2111,841,967,960,3347,2207,2022,2,05100315,05100315-2022-2
05,10,03,16,10468,646,830,262,1154,3041,1319,1468,1748,5354,2751,2022,2,05100316,05100316-2022-2
05,10,03,17,3989,302,431,127,441,1179,441,484,584,1956,1770,2022,2,05100317,05100317-2022-2
05,20,04,18,3913,184,349,133,391,635,590,932,699,1935,334,2022,2,05200418,05200418-2022-2
05,20,04,19,1654,55,96,30,128,328,191,319,507,857,21,2022,2,05200419,05200419-2022-2
05,20,04,20,5889,276,457,170,565,1178,707,1063,1473,2979,1005,2022,2,05200420,05200420-2022-2
05,20,04,21,4405,308,430,127,479,1045,487,541,988,2270,914,2022,2,05200421,05200421-2022-2
05,20,04,22,1114,89,103,39,125,319,150,166,123,547,152,2022,2,05200422,05200422-2022-2
05,20,04,23,6666,448,653,200,553,1580,712,852,1668,3598,1488,2022,2,05200423,05200423-2022-2
05,20,05,24,3433,197,368,134,360,752,492,544,586,1795,435,2022,2,05200524,05200524-2022-2
05,20,05,25,2450,143,209,49,165,561,340,374,609,1275,245,2022,2,05200525,05200525-2022-2
05,20,05,26,5667,366,765,226,533,1463,666,655,993,2847,2361,2022,2,05200526,05200526-2022-2
05,20,05,27,11966,972,1727,520,1384,2838,1325,1288,1912,6123,4587,2022,2,05200527,05200527-2022-2
05,20,05,28,7148,406,504,158,589,1446,735,1161,2149,3722,1134,2022,2,05200528,05200528-2022-2
05,20,06,29,8456,503,610,171,972,2386,916,1028,1870,4270,2454,2022,2,05200629,05200629-2022-2
05,20,06,30,9957,542,784,233,1067,2776,1296,1434,1825,5015,2652,2022,2,05200630,05200630-2022-2
05,20,06,31,8545,467,621,192,895,2553,1047,1260,1510,4273,2329,2022,2,05200631,05200631-2022-2
05,20,06,32,3738,196,393,141,395,900,494,550,669,1849,1220,2022,2,05200632,05200632-2022-2
05,20,06,33,2025,109,178,45,151,388,206,297,651,1131,295,2022,2,05200633,05200633-2022-2
