key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
07070705-2018-1,2018,1,07070705,7000,343,542,223,636,1208,1245,1038,1765
07070706-2018-1,2018,1,07070706,3948,237,344,95,353,715,557,538,1109
07070707-2018-1,2018,1,07070707,2982,195,221,87,207,487,446,464,875
08010115-2018-1,2018,1,08010115,856,61,64,18,61,272,131,138,111
08010116-2018-1,2018,1,08010116,3585,201,192,81,390,1457,527,391,346
08010117-2018-1,2018,1,08010117,16100,968,963,250,1618,7514,1931,1481,1375
08010118-2018-1,2018,1,08010118,11888,774,1026,307,1481,4691,1374,987,1248
08010211-2018-1,2018,1,08010211,9998,556,659,198,1230,4380,1188,909,878
08010212-2018-1,2018,1,08010212,7518,467,834,287,815,2384,932,764,1035
08010213-2018-1,2018,1,08010213,12547,807,825,280,1503,5369,1559,1024,1180
08010214-2018-1,2018,1,08010214,8075,404,622,208,1115,2948,1042,819,917
08010301-2018-1,2018,1,08010301,27755,1797,1684,432,2584,12557,3758,2552,2391
08010302-2018-1,2018,1,08010302,3671,184,235,83,316,1163,574,482,634
08010303-2018-1,2018,1,08010303,8500,512,639,161,1002,3842,974,692,678
08010404-2018-1,2018,1,08010404,23726,1578,1616,466,2769,10389,2672,2163,2073
08010405-2018-1,2018,1,08010405,9004,519,576,162,970,3885,1056,811,1025
08010406-2018-1,2018,1,08010406,7134,616,650,163,827,2606,818,655,799
08010407-2018-1,2018,1,08010407,810,37,22,6,116,406,99,62,62
08010508-2018-1,2018,1,08010508,5660,597,645,177,776,1427,726,574,738
08010509-2018-1,2018,1,08010509,9412,820,1251,371,1168,2359,1231,911,1301
08010510-2018-1,2018,1,08010510,475,18,29,15,99,149,81,48,36
08020619-2018-1,2018,1,08020619,11552,914,1118,323,1439,3295,1526,1221,1716
08020620-2018-1,2018,1,08020620,9328,543,633,228,1026,2523,1276,1168,1931
08020621-2018-1,2018,1,08020621,2322,114,199,63,194,378,396,452,526
08020622-2018-1,2018,1,08020622,14157,841,921,311,1274,3265,2114,2092,3339
08020623-2018-1,2018,1,08020623,1287,61,80,40,95,215,215,196,385
08020624-2018-1,2018,1,08020624,1394,97,142,31,146,352,224,170,232
08020625-2018-1,2018,1,08020625,3336,116,238,88,387,613,509,478,907
08020726-2018-1,2018,1,08020726,8413,406,574,205,764,1724,1307,1230,2203
08020727-2018-1,2018,1,08020727,11992,597,958,328,1247,2248,1688,1568,3358
08020728-2018-1,2018,1,08020728,8669,576,764,262,974,1868,1167,1073,1985
08030829-2018-1,2018,1,08030829,12510,775,1068,341,1209,2609,1555,1502,3451
08030830-2018-1,2018,1,08030830,7398,383,453,139,546,1419,898,940,2620
08030831-2018-1,2018,1,08030831,17462,1157,1467,492,1820,3932,2172,2134,4288
08040932-2018-1,2018,1,08040932,2859,166,266,64,220,539,314,359,931
08040933-2018-1,2018,1,08040933,4194,192,210,88,395,817,645,556,1291
08040934-2018-1,2018,1,08040934,2688,149,207,77,262,565,381,429,618
08041035-2018-1,2018,1,08041035,8182,439,626,272,749,1411,1334,1185,2166
08041036-2018-1,2018,1,08041036,6886,330,495,184,619,1176,1111,1077,1894
08041037-2018-1,2018,1,08041037,9670,488,638,234,911,1765,1415,1533,2686
08041038-2018-1,2018,1,08041038,6980,380,538,204,584,1228,1091,992,1963
08041039-2018-1,2018,1,08041039,3853,271,344,115,396,954,610,475,688
08041040-2018-1,2018,1,08041040,7921,492,662,249,773,1502,1207,1139,1897
09010101-2018-1,2018,1,09010101,12359,913,1015,240,906,4999,1858,1101,1327
09010102-2018-1,2018,1,09010102,67,3,3,3,9,19,15,9,6
09010201-2018-1,2018,1,09010201,4350,351,371,71,262,1434,694,414,753
09010202-2018-1,2018,1,09010202,6876,336,250,81,606,2013,898,844,1848
09010301-2018-1,2018,1,09010301,15613,851,795,211,1289,5107,1902,1538,3920
09010302-2018-1,2018,1,09010302,2895,148,217,91,251,497,544,507,640
09010401-2018-1,2018,1,09010401,8490,428,452,132,571,1900,1130,1020,2857
09010402-2018-1,2018,1,09010402,11547,741,975,310,1030,3241,1856,1460,1934
09020501-2018-1,2018,1,09020501,7184,525,533,147,1035,2795,810,616,723
09020502-2018-1,2018,1,09020502,15520,1165,1058,323,1928,5435,1916,1521,2174
09020601-2018-1,2018,1,09020601,8669,630,617,151,1186,3122,979,726,1258
09020602-2018-1,2018,1,09020602,3534,160,256,61,208,704,498,547,1100
09020701-2018-1,2018,1,09020701,2652,220,93,27,667,1091,182,167,205
09020702-2018-1,2018,1,09020702,16617,1025,1127,309,1601,4981,2279,1972,3323
09020801-2018-1,2018,1,09020801,2939,205,191,30,212,897,419,422,563
09020802-2018-1,2018,1,09020802,7895,630,739,210,705,2434,982,879,1316
09030901-2018-1,2018,1,09030901,13093,809,1148,349,892,2940,2342,2036,2577
09030902-2018-1,2018,1,09030902,5725,383,557,191,522,1369,905,859,939
09030903-2018-1,2018,1,09030903,8064,603,913,241,721,2084,1379,1017,1106
09031001-2018-1,2018,1,09031001,12946,717,1048,318,926,2726,2215,2075,2921
09031101-2018-1,2018,1,09031101,6441,370,394,110,417,1591,1020,854,1685
09031201-2018-1,2018,1,09031201,1819,76,153,48,71,330,304,306,531
09031202-2018-1,2018,1,09031202,2551,165,171,69,166,494,442,408,636
09041301-2018-1,2018,1,09041301,14568,598,879,256,819,2754,1995,2356,4911
09041302-2018-1,2018,1,09041302,1874,110,156,43,78,359,311,307,510
09041401-2018-1,2018,1,09041401,4831,213,239,97,243,870,499,531,2139
