key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114378-2018-1100102,01100102,2018,12,10,2,light_injured,turn_in,True,52.50633800106077,13.368364420601797,011001,0110,01,2.9068974750311836
114379-2018-3601141,03601141,2018,9,17,5,light_injured,other,False,52.550571974344095,13.413725281144764,036011,0360,03,3.53747271164552
114381-2018-9200613,09200613,2018,6,6,6,light_injured,turn_in,False,52.45643280255895,13.510030151855073,092006,0920,09,9.949288721391246
114383-2018-2500728,02500728,2018,5,8,4,seriously_injured,other,True,52.51450732672016,13.467573269936807,025007,0250,02,4.234429282920988
114390-2018-10400940,10400940,2018,8,16,4,light_injured,other,True,52.504953338920565,13.606291268672512,104009,1040,10,13.712333674085265
114391-2018-2500833,02500833,2018,4,22,4,light_injured,other,False,52.51193991108186,13.452107232917017,025008,0250,02,3.253672789809167
114393-2018-1100311,01100311,2018,5,20,4,light_injured,other,True,52.520030310306645,13.422544218611334,011003,0110,01,1.1498017033850114
114394-2018-2200208,02200208,2018,10,9,4,light_injured,turn_in,True,52.497480773064055,13.389266237588403,022002,0220,02,2.6574188229752678
114395-2018-3400826,03400826,2018,2,12,7,seriously_injured,other,True,52.563289802176996,13.409056237993513,034008,0340,03,4.915535925103899
114397-2018-4200206,04200206,2018,9,17,7,light_injured,other,True,52.507536032248375,13.242398531506037,042002,0420,04,11.159382407283912
114400-2018-4300622,04300622,2018,7,13,1,light_injured,turn_in,True,52.51239877525026,13.32032917631233,043006,0430,04,5.84182093287278
114401-2018-3701657,03701657,2018,6,20,3,light_injured,other,False,52.54206397840767,13.425774203697825,037016,0370,03,2.890599658259575
114403-2018-7200410,07200410,2018,5,15,5,light_injured,turn_in,False,52.486734948167886,13.35704240940374,072004,0720,07,4.891223813987187
114406-2018-1100104,01100104,2018,9,11,7,light_injured,other,True,52.50464074638798,13.367140221137575,011001,0110,01,3.074567967193804
114408-2018-3601142,03601142,2018,7,18,6,light_injured,other,True,52.5428579152951,13.412466435923513,036011,0360,03,2.6766281498145457
114409-2018-1100207,01100207,2018,3,21,3,light_injured,turn_in,True,52.51022204413519,13.387662980542311,011002,0110,01,1.576005906811735
114410-2018-2400522,02400522,2018,7,22,6,light_injured,other,True,52.51629389554875,13.449906110069593,024005,0240,02,3.020153682786492
114413-2018-3701660,03701660,2018,10,17,5,light_injured,other,False,52.53416066920597,13.430917340023049,037016,0370,03,2.392054883664738
114416-2018-4300414,04300414,2018,9,9,2,light_injured,other,True,52.51038664854627,13.289155956601249,043004,0430,04,7.969591374456295
114417-2018-3400723,03400723,2018,8,14,7,light_injured,turn_in,True,52.56892523904403,13.403836113562809,034007,0340,03,5.538638891778703
114425-2018-2500729,02500729,2018,9,7,2,seriously_injured,other,False,52.51419111650524,13.470720150680132,025007,0250,02,4.450777923930831
114426-2018-1100205,01100205,2018,9,8,3,light_injured,turn_in,True,52.509861971669764,13.381907179408607,011002,0110,01,1.9164879072734957
114429-2018-3701657,03701657,2018,5,19,1,light_injured,turn_in,False,52.53708735797397,13.430000941608702,037016,0370,03,2.589481181381592
114437-2018-4300414,04300414,2018,5,15,2,light_injured,other,False,52.51051846666246,13.288611352664928,043004,0430,04,8.004497551534117
114438-2018-2500830,02500830,2018,10,17,3,light_injured,other,False,52.51438450074782,13.453669570698482,025008,0250,02,3.301883518552027
114440-2018-3701657,03701657,2018,12,12,7,light_injured,other,True,52.53902320115536,13.424327577104306,037016,0370,03,2.54703811571356
114444-2018-3601142,03601142,2018,6,16,5,light_injured,other,False,52.543167854741256,13.412125803418851,036011,0360,03,2.7067667601020298
114446-2018-1100310,01100310,2018,3,12,2,light_injured,other,True,52.51945246016887,13.41241194052784,011003,0110,01,0.45910148001588097
114448-2018-2200209,02200209,2018,4,15,1,light_injured,other,False,52.48861855881329,13.386024927020994,022002,0220,02,3.651339039821067
114454-2018-3701659,03701659,2018,7,7,2,light_injured,other,True,52.52811760267847,13.423451965300751,037016,0370,03,1.5652599809594037
